Ethnic_Group,Departamento,TOWN (MUNICIPIO),CABECERAS  Y CENTROS POBLADOS (TOWNSHIPS AND MICROTOWNSHIPS),NAME OF THE COMMUNITY COUNCIL OR RESERVATION,NAME OF THE PEOPLE,RECOGNITION RESOLUTION,RECOGNITION DATE,LAND TITLE SITUATION,SOURCE (PUBLIC OFFICE OFFERS INFO),TITLING RESOLUTION,DATE TITLED,NUMBER OF FAMILIES,AREA (blocks?),NUMBER OF PEOPLE(CAN THIS BE CONNECTED WITH CENSUS?),,,,,
AFRO,CESAR,COPEY,,Consejo Comunitario de la JAgua de Ibirico (COACNEJA),NOT INFORMED,45,4-Jun-13,REQUESTED,ANT,,,,,,,,,,
INDIGENA,CESAR,EL PASO,,CAMPOALEGRE,"WIWA, ARZARIO",NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,CESAR,EL PASO,,AMADA CABAS GUTIERREZ,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,EL PASO,,MODESTA GUZMAN,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,GAMARRA,,"Consejo Comunitario LA SIERRA, EL CRUCE Y LA ESTACION",NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,LA JAGUA DE IBIRICO,IBERIA,Consejo Comunitario Vereda Iberia,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,CESAR,LA JAGUA DE IBIRICO,,IROKA,YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,LA JAGUA DE IBIRICO,,MENKUE-MISAYA-LA PISTA,YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,LA PALMITA,,SOCORPA,YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,LA PAZ,,ETTE ENAKA CHIMILA,CHIMILA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,CESAR,LA PAZ,,JULIO CESAR MUNOZ,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,LA PAZ,,ALEJO DURAN,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,LA PAZ,,MARTIN PESCADOR,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,LA PAZ,,Consejo Comunitario Comunidad Afrodescendiente La Palmita,NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,CESAR,PUEBLO BELLO,,Consejo comunitario La Victoria de San Isidro (COAFROVIS),NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,CANO PADILLA,YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,"EL ROSARIO, BELLAVISTA Y YUCATAN",YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,LA LAGUNA,YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,EL COSO,YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,CINCO CAMINOS,YUKPA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,CESAR,VALLEDUPAR,CARACOLI,Consejo Comunitario Eusebio Ayala de la Comunidad Negra de Caracoli,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,VALLEDUPAR,CAMPERUCHO,"JOSE AGUSTIN ALMAN/ AREZ COYANTES ""COCONECAM""",NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,ARHUACO DE LA SIERRA NEVADA,ARHUACO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,ARHUACO DE LA SIERRA NEVADA,ARHUACO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,(BUSINCHAMA),ARHUACO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,VALLEDUPAR,,KANKUAMO,KANKUAMO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CESAR,"VALLEDUPAR,PUEBLO BELLO",,KOGUI-MALAYO-ARHUACO,KOGUI-MALAYO-ARHUACO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
